'Manipulating Light at the Nano-Scale： Lenses,Holograms and Vortices','https://eee.sustc.edu.cn/?p=2077&cc=7','黄坤','2017-11-27','EE','第二科研楼 503会议室',,,
'稀疏低秩表示在高光谱图像降维与分类中的应用','https://eee.sustc.edu.cn/?p=2081&cc=7','李恒超','2017-11-21','EE','南山智园A7栋 11楼 1113会议室',,,,
'Coherent X-ray Diffraction Imaging for Materials Science','https://eee.sustc.edu.cn/?p=2046&cc=7','Ian Robinson','2017-11-20','EE','第二科研楼 516会议室',,,,
'Communication and Computing for Mobile Intelligence','https://eee.sustc.edu.cn/?p=2044&cc=7','张军','2017-11-20','EE','南山智园A7栋 11楼 1113会议室',,,,
'Opportunities and Applications of 3D Additive Manufacturing','https://eee.sustc.edu.cn/?p=2083&cc=7','魏军','2017-11-20','EE','第二科研楼 408会议室',,,,
'Towards breaking the Shockley-Queisser limit in organic solar cells','https://eee.sustc.edu.cn/?p=2048&cc=7','张春风','2017-11-20','EE','第二科研楼 503会议室',,,,
'大脑听皮质对耳蜗植入人群的频率分辨处理的研究','https://eee.sustc.edu.cn/?p=2050&cc=7','梁纯','2017-11-16','EE','南山智园A7栋 11楼 1113会议室',,,,
'Ultrafast all-fibre laser and its polarisation dynamics','https://eee.sustc.edu.cn/?p=2054&cc=7','None','2017-11-14','EE','南山智园A7栋 11楼 1113会议室',,,,
'Data-driven network analytics in SDN-based programmable optical networks','https://eee.sustc.edu.cn/?p=2058&cc=7','Shuangyi Yan','2017-11-14','EE','南山智园A7栋 11楼 1113会议室',,,,
'Optoelectronic and optomechanical fiber devices','https://eee.sustc.edu.cn/?p=2060&cc=7','徐飞','2017-11-14','EE','南山智园A7栋 11楼 1113会议室',,,,
'仿生超微飞行机器人','https://eee.sustc.edu.cn/?p=2062&cc=7','：张卫平','2017-11-13','EE','第二科研楼 503会议室',,,,
'移动中的通信与计算协同','https://eee.sustc.edu.cn/?p=2064&cc=7','周盛','2017-11-10','EE','南山智园A7栋 11楼 1113会议室',,,,
'大口径可见光望远镜的液晶自适应光学成像','https://eee.sustc.edu.cn/?p=2026&cc=7','宣丽','2017-11-10','EE','第二科研楼 503会议室',,,,
'Microwave biomedical imaging with inhomogeneous background medium','https://eee.sustc.edu.cn/?p=2032&cc=7','Kuiwen Xu','2017-11-09','EE','南山智园A7栋 11楼 1113会议室',,,,
'Some thoughts on introducing transformation optics to antenna design','https://eee.sustc.edu.cn/?p=2028&cc=7','Zhan Zhang','2017-11-09','EE','南山智园A7栋 11楼 1113会议室',,,,
'On Imaging Methods of Material Structures with Different Boundary Conditions','https://eee.sustc.edu.cn/?p=2030&cc=7','Xiuzhu Ye','2017-11-09','EE','南山智园A7栋 11楼 1113会议室',,,,
'Control of luminescence of Eu3+doped materials with plasmonic core-shell structures','https://eee.sustc.edu.cn/?p=2036&cc=7','宋峰','2017-11-06','EE','第二科研楼 503会议室',,,,
'Acoustofluidic Platforms for Separation and Analysis of Particles and Cells','https://eee.sustc.edu.cn/?p=2034&cc=7','Han WANG','2017-11-06','EE','第一教学楼 405室',,,,
'5G移动通信中的信道编码技术','https://eee.sustc.edu.cn/?p=2040&cc=7','白宝明','2017-11-03','EE','南山智园A7栋 10楼 1008会议室',,,,
'Multicasting and Caching for Content-Centric Wireless Networks','https://eee.sustc.edu.cn/?p=2038&cc=7','Meixia Tao','2017-11-03','EE','南山智园A7栋 10楼 1008会议室',,,,
'Progress and Development Trend of Cache Assisted Wireless Communication Technology','https://eee.sustc.edu.cn/?p=2009&cc=7','Qingchun Chen','2017-11-03','EE','南山智园A7栋 11楼 1113会议室',,,,
'量子点发光二极管技术：材料，器件和打印技术的开发','https://eee.sustc.edu.cn/?p=2007&cc=7','：钱磊','2017-11-03','EE','第二科研楼 503会议室',,,,
'MDS Codes for Distributed Storage system','https://eee.sustc.edu.cn/?p=2042&cc=7','：Xiaohu Tang','2017-11-03','EE','南山智园A7栋 11楼 1113会议室',,,,
'X-ray microscopy: making it big,fast,cool,and colorful','https://eee.sustc.edu.cn/?p=2011&cc=7','Chris Jacobsen','2017-10-30','EE','None',
'Introduction of a research university in Canada: INRS','https://eee.sustc.edu.cn/?p=2022&cc=7','Philippe-Edwin Bélanger','2017-10-26','EE','第一科研楼 报告厅',,,,
'Introduction of Center of Energy,Materials and Telecommunications','https://eee.sustc.edu.cn/?p=2020&cc=7','：Dongling Ma','2017-10-26','EE','第一教学楼 110教室',,,
'Nanoscale switching of near-infrared hot spots in plasmonic oligomers probed by two-photon absorption in photopolymers','https://eee.sustc.edu.cn/?p=2018&cc=7','Renaud Bachelot','2017-10-26','EE','第二科研楼 503会议室',,,,
'基于深度神经网络的双耳语音分离','https://eee.sustc.edu.cn/?p=2015&cc=7','：张学良','2017-10-26','EE','南山智园A7栋 11楼 1113会议室',,,,
'Distributed fibre sensing: how to turn an optical fibre into a sensing nerve','https://eee.sustc.edu.cn/?p=2013&cc=7',' Luc THÉVENAZ','2017-10-26','EE','第二科研楼 503会议室',,,,
'Large-Scale Distributed Optimization by ADMM: Algorithms and Applications','https://eee.sustc.edu.cn/?p=2024&cc=7','张纵辉','2017-10-23','EE','南山智园A7栋 10楼 1008会议室',,,,
'新疆110米口径全可动射电望远镜','https://eee.sustc.edu.cn/?p=1988&cc=7','许谦','2017-10-23','EE','南山智园A7栋 11楼 1113会议室',,,,
'Research Seminar：Secured Microchip Design to Countermeasure against Physical Hardware Attack','https://eee.sustc.edu.cn/?p=1992&cc=7','Ali Akbar Pammu','2017-10-20','EE','第二科研楼 503会议室',,,,
'IEEE Distinguished Lecture：Low Power Robust Asynchronous Circuit Design – Challenges and Future Directions','https://eee.sustc.edu.cn/?p=1990&cc=7','Gwee Bah Hwee','2017-10-20','EE','第二科研楼 503会议室',,,,
'NB-IoT Technology,Standardization and RF Transceiver Design','https://eee.sustc.edu.cn/?p=1996&cc=7','Huimin GUO','2017-10-12','EE','第二科研楼 503会议室',,,
