' Photodetection from Mid-IR to UV Using Semiconductor Heterostructures','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/639.html','Tom Wu (吴韬)','2017-12-18','Physics','Room 102, Faculty Research Building 2',
' Adding Functionalities to the 2D Materials Family: Layered ferroelectrics and applications','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/638.html','Junling WANG(王峻岭) ','2017-12-18','Physics','Room 102, Faculty Research Building 2',
' Cracking the Nanophysics of Oxide Interface and Heterostructures with ALL-Laser MBE','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/637.html','Xiaoxing XI(郗小星)','2017-12-14','Physics','Room 102, Faculty Research Building 2',
' Adding Functionalities to the 2D Materials Family: Layered ferroelectrics and applications','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/636.html','Junling WANG','2017-12-15','Physics','Room 102, Faculty Research Building 2',
' Spin-based Quantum Information Processing','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/635.html','Xinhua PENG（彭新华)','2017-12-13','Physics','Room 102, Faculty Research Building 2',
' Pushing the Limit of Theoretical Resolution for Single-particle Cryo-EM Reconstructions','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/634.html','Xinzheng ZHANG(章新政), ','2017-12-11','Physics','Room 111, Lynn Library',
' Gravitational Waves: Where Do We Stand?','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/631.html','Cosimo Bambi','2017-12-7','Physics','Room 102, Faculty Research Building 2',
' Spin Noise Spectra of Rb Atom Gas and n-GaAs Semiconductor','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/630.html','Yang Ji（姬扬）','2017-12-4','Physics','Room 102, Faculty Research Building 2',
' Quantum Effects in Few-body Physics: the Efimov Trilogy','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/628.html','Zhenhua YU (俞振华)','2017-12-1','Physics','Room 102, Faculty Research Building 2',
' Quantum Effects in Few-body Physics: the Efimov Trilogy','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/626.html','Zhenhua YU (俞振华) ','2017-12-1','Physics','Room 102, Faculty Research Building 2',
' “捕捉薛定谔猫”与未来量子技术','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/625.html','Weiping ZHANG(张卫平)','2017-11-28','Physics','Room 102, Faculty Research Building 2',
' When is Simpler Thermodynamically Better?','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/621.html','Andrew J. P. Garner','2017-11-22','Physics','Room 102, Faculty Research Building 2',
' Quasiparticle Interference on Type I and Type II Weyl Semimetal Surfaces','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/618.html','Hao ZHENG (郑浩)','2017-11-24','Physics','Room 102, Faculty Research Building 2',
' Magnon-phonon Interaction in YIG and Effective Spin Mixing Conductance of YIG-metal Interfaces','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/617.html','Ke Xia (夏钶)','2017-11-20','Physics','Room 102, Faculty Research Building 2',
' 磁性拓扑绝缘体及低维超导中的量子效应研究','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/611.html','Weiwei  ZHAO (赵维巍) ','2017-11-16','Physics','Room 102, Faculty Research Building 2',
'  Superfluid and Topological Phases Unique to  Interacting Cold Atoms','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/610.html','W. Vincent Liu (刘文胜) ','2017-11-15','Physics','Room 102, Faculty Research Building 2',
' Predicting the Electronic and Transport Properties from Accurate First-principles Calculations','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/609.html','Huijun LIU(刘惠军)','2017-11-13','Physics','Room 102, Faculty Research Building 2',
' Emergent Phenomena in Graphene','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/608.html','Lin HE (何林)','2017-11-6','Physics','Room 102, Faculty Research Building 2',
' Raman Spectroscopy of Interlayer Vibrational Modes in Multilayer Graphenes and Related Heterostructures','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/603.html','Ping-Heng TAN','2017-10-30','Physics','Room 102, Faculty Research Building 2',
' Ultra-broadband Spin Wave Propagation in Ferromagnetic Heusler Thin Films','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/602.html','Haiming YU','2017-10-23','Physics','Room 102, Faculty Research Building 2',
' Realization of the Chiral Rotation of a Three-spin-system by Using the GHZ State Generation','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/601.html','Shiyao ZHU(朱诗尧）','2017-10-20','Physics','Room 102, Faculty Research Building 2',
' Surface Internal Stress and Mechanical Property Study by X-ray Diffraction Method','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/600.html','Vincent JI','2017-10-20','Physics','Room 102, Faculty Research Building 2',
' 有机小分子太阳能电池中相关的物理问题研究','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/599.html','侯晓远','2017-10-16','Physics','第二科研楼102报告厅',
' Quantum Simplicity: Complexity Science with Quantum Technologies','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/595.html','Mile Gu','2017-10-10','Physics','Room 102, Faculty Research Building 2',
' Einstein Field Equations and Navier-Stokes Equations','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/594.html','Rong-Gen Cai','2017-9-28','Physics','Room 102, Faculty Research Building 2',
' Einstein Field Equations and Navier-Stokes Equations','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/593.html','Rong-Gen Cai (蔡荣根)','2017-9-28','Physics','Room 102, Faculty Research Building 2',
' Chemical Pressure and Quantum Criticality in Iron Pnictides','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/592.html','Zhu-An Xu','2017-9-25','Physics','Room 102, Faculty Research Building 2',
' Ferroelectric and Multiferroic Tunnel Junctions: Interface Engineering and Four-state Memories','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/591.html','Di  Wu (吴迪）','2017-9-22','Physics','Room 102, Faculty Research Building 2',
' 2D Spin-Orbit Coupling with BEC in Optical Lattices','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/588.html','Shuai Chen','2017-9-21','Physics','Room 102, Faculty Research Building 2',
' 10-qubit Entanglement with A Superconducting Circuit','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/587.html','Haohua Wang','2017-9-18','Physics','Room 102, Faculty Research Building 2',
' 几种钙钛矿氧化物铁电材料及其应用','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/548.html','袁国亮','2017-8-30','Physics','第二科研楼102报告厅',
' Optimal Compression of Identically Prepared Quantum Systems','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/515.html','Assoc. Prof. Giulio Chiribella','2017-8-10','Physics','Room 102, Faculty Research Building 2',
' Introduction to the Spectroscopy of Rare-earth Doped Crystal','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/507.html','Matthew J. Sellars','2017-7-11','Physics','Room 102, Faculty Research Building 2',
'   Is There Such A Thing as Private Classical Information?','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/504.html','Charles Henry Bennett','2017-6-30','Physics','Room 110, Lynn Library',
' Formation and Control of Thermoelectric Composites at the Na','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/503.html','G. Jeffrey Snyder ','2017-6-25','Physics','Room 209, Faculty Research Building 2',
' Multiscale and Multifractional Spacetimes in Quantum Gravity','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/501.html','Calcagni','2017-6-23','Physics','Room 102, Faculty Research Building 2',
' Quantum Charge Pumps with Topological Phases in Creutz Ladde','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/500.html',': Lih-King Lim(林励庆)','2017-6-20','Physics','Room 102, Faculty Research Building 2',
' Attraction Between Topological Quantum Vortices as Origin of','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/499.html','P. A. Marchetti','2017-6-16','Physics','Room 102, Faculty Research Building 2',
' Revealing the structural dynamics and electronic properties ','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/497.html','Dr. Junhao LIN','2017-6-12','Physics','Room 102, Faculty Research Building 2',
' Probing Condensed Matter with Magnetic Resonances','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/496.html','Jean-Philippe Ansermet','2017-6-9','Physics','Room 102, Faculty Research Building 2',
' Design, Growth and Fabrication of Compound Semiconductor Nan','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/495.html','Lan FU','2017-6-9','Physics','Room 102, Faculty Research Building 2',
' Higgs physics at the LHC','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/493.html','Prof. Yaquan Fang','2017-5-26','Physics','Room 102, Faculty Research Building 2',
' Theoretical Prediction of New Topological Insulators','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/492.html','Xiuwen Zhang','2017-6-1','Physics','Room 102, Faculty Research Building 2',
' Recent Progress in Cold Molecule Physics','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/488.html','Bo Yan','2017-5-23','Physics','Room 102, Faculty Research Building 2',
' Quantum Key Distribution: From Theory to Practice','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/478.html','Xiang-bin Wang','2017-5-17','Physics','Room 102, Faculty Research Building 2',
' Recent Progress in Cold Molecule Physics','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/477.html','Bo Yan','2017-5-23','Physics','Room 102, Faculty Research Building 2',
' Optical Spectroscopy of Layered Transition Metal Dichalcogen','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/476.html','Jun Yan','2017-5-15','Physics','Room 102, Faculty Research Building 2',
' Manipulating Surface Plasmons on Metal Nanowires and Circuit','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/475.html','Hong-Xing Xu','2017-5-15','Physics','Room 102, Faculty Research Building 2',
' Interface Engineering for 2D Phosphorene Based Optoelectroni','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/473.html','Wei Chen','2017-5-12','Physics','Room 102, Faculty Research Building 2',
' Experimentally Probing Topological Order and its Phase Trans','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/472.html','Ling-Yan Hung ','2017-5-9','Physics','Room 102, Faculty Research Building 2',
' Surfaces, Interfaces, Spins – The age of Interface!','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/464.html',' Jagadeesh Moodera','2017-4-18','Physics','Room 102, Faculty Research Building 2',
' Quantum Randomness as A Coherence Measure','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/463.html','Xiongfeng Ma','2017-4-17','Physics','Room 102, Faculty Research Building 2',
' Practical Quantum Key Distribution','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/462.html','Bing Qi','2017-4-17','Physics','Room 102, Faculty Research Building 2',
' In Situ Techniques for Quantum Materials','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/461.html','Jinfeng Jia','2017-4-14','Physics','Room 102, Faculty Research Building 2',
' Trapping Ions in An Equally Spaced String and Further Coolin','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/460.html','Ping-Xing Chen ','2017-4-11','Physics','Room 102, Faculty Research Building 2',
' Dealloying and Spontaneous Nanoporous Metal Formation','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/455.html','Qing Chen','2017-4-5','Physics','Room 102, Faculty Research Building 2',
' Ultimate Precision Limit for Quantum Parameter Estimation','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/453.html','Haidong Yuan','2017-3-30','Physics','Room 102, Faculty Research Building 2',
' Quantum Brachistochrone Control: Error Reduction Technique f','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/452.html','Xiaoting Wang','2017-3-29','Physics','Room 102, Faculty Research Building 2',
' Harnessing Single Photons in Quantum Technology','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/450.html','Xiao-Song Ma','2017-3-29','Physics','Room 102, Faculty Research Building 2',
' All-In-One Spintronics: Manipulating Electronic Phase Separa','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/449.html','Jian Shen','2017-3-27','Physics','Room 102, Faculty Research Building 2',
' Warm Dense Matter and Its Peculiarities','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/447.html','X. T. He*','2017-3-21','Physics','Room 102, Faculty Research Building 2',
' Surface Acoustic Zitterbewegung Oscillation and Acoustic Top','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/446.html','Minghui Lu','2017-3-21','Physics','Room 209, Faculty Research Building 2',
