'From Molecules to Macromolecules to Functional Materials: Controlling Structure and Properties through Synthesis','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/12.html','Prof. Robert B. (Barney) Grubbs  ','2016-9-5','Chemistry','行政楼401会议室',,,,
'基于理性设计的天然产物仿生合成','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/8.html','唐叶峰教授  ','2016-8-15','Chemistry','行政楼401会议室',,,,
'绿色农药分子设计与新品种创制 ','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/9.html','杨光富 教授  ','2016-7-22','Chemistry','行政楼401会议室',,,,
'In-situ Probing of Colloidal Nanoparticles in Solution','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/10.html','孙玉刚 教授  ','2016-7-15','Chemistry','第一教学楼110',,,,
'Pt3Ni Nanocrystals: Synthesis,Structure Control and Catalysis','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/3.html','Prof. Jiye Fang  ','2016-7-8','Chemistry','第一教学楼110',,,
'金属有机超分子体系的组装和催化性能','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/4.html','段春迎教授  ','2016-6-24','Chemistry','行政楼121会议室',,,,
'Organometallic Molecular Electronics','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/5.html','Prof. Heinz Berke  ','2016-6-23','Chemistry','行政楼401会议室',,,,
'导向有机合成的氮杂环卡宾化学研究','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/6.html','成莹教授  ','2016-6-17','Chemistry','行政楼401会议室',,,,
'Reactivity of Nitrido Complexes of Ruthenium(VI),Osmium(VI) and Manganese(V)','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/7.html','刘大铸教授  ','2016-6-8','Chemistry','行政楼401会议室',,,
,,,,,,,,,
