'高维非齐次守恒律方程的激波、稀疏波及光滑解爆破的充要条件','http://math.sustech.edu.cn/hall/10739.html','杨小舟(中科院武汉所 )','2018-4-26','Math','慧园3栋 415报告厅',
'Some recent progress on the mathematical analysis of the Prandtl boundary layer equation','http://math.sustech.edu.cn/hall/10898.html','徐超江（鲁昂大学）','2018-4-25','Math','慧园3栋 415报告厅',
'From local to global dynamics in competitive systems','http://math.sustech.edu.cn/hall/10909.html','肖冬梅（上海交大）','2018-4-12','Math','慧园3栋 415报告厅',
'Aposteriori error control and adaptivity for Schrodinger equations','http://math.sustech.edu.cn/hall/10881.html','Theodoros Katsaounis（阿卜杜拉国王科技大学&克里特大学）','2018-4-4','Math','慧园3栋 415报告厅',
'Inequalities for eigenvalues of sums of self-adjoint operators and related intersection problems','http://math.sustech.edu.cn/hall/10854.html','Wing Suet Li (佐治亚理工学院)','2018-3-15','Math','慧园3栋 415报告厅',
'Two-level schemes for the advection equation','http://math.sustech.edu.cn/hall/10853.html','Petr N. Vabishchevich（俄罗斯东北联邦大学）','2018-3-8','Math','慧园3栋 415报告厅',
'Backward Stochastic Differential Equations and Optimal Switching Problem with Two-Time-Scale Markov Chains: Weak Convergence and Stock Trading','http://math.sustech.edu.cn/hall/10830.html','吴臻（山东大学）','2018-2-6','Math','慧园3栋 415报告厅',
'Some Developments in Semiparametric Models in Survival Analysis','http://math.sustech.edu.cn/hall/10842.html','周勇（中科院数学与系统科学研究所&上海财经大学）','2018-1-31','Math','慧园3栋 415报告厅',
'Galerkin method for scattering problem of a slit','http://math.sustech.edu.cn/hall/10828.html','马富明（吉林大学）','2018-1-15','Math','慧园3栋 415报告厅',
'Efficient and accurate numerical methods for solving fractional PDEs','http://math.sustech.edu.cn/hall/10813.html','Jie Shen(普渡大学 & 厦门大学)','2018-1-11','Math','慧园3栋 415报告厅',
' Asymptotic behavior of principal eigenvalue for linear second order elliptic operators','http://math.sustech.edu.cn/hall/10722.html','楼元教授(Ohio State University/ 人民大学)','2017-12-19','Math','慧园3栋 415报告厅',
'分枝过程的随机方程','http://math.sustech.edu.cn/hall/10768.html','李增沪（北京师范大学）','2017-12-14','Math','慧园3栋 415报告厅',
'Discovery, Design and Analysis of Multidrug Combinations: Big Data, Systems and  Experiments','http://math.sustech.edu.cn/hall/10763.html','谭铭(乔治城大学)','2017-12-14','Math','慧园3栋 415报告厅',
'Computational methods for the dynamics of the nonlinear Schroedinger/Gross-Pitaevskii equations ','http://math.sustech.edu.cn/hall/10762.html','包维柱(新加坡国立大学)','2017-12-13','Math','慧园3栋 415报告厅',
'Fully nonlinear equations and complex geometry','http://math.sustech.edu.cn/hall/10749.html','田刚（北京大学）','2017-12-3','Math','慧园2栋 201报告厅',
'混合型方程与高速飞行','http://math.sustech.edu.cn/hall/10748.html','陈恕行（复旦大学）','2017-11-29','Math','慧园3栋 415报告厅',
'Regression analysis of networked data','http://math.sustech.edu.cn/hall/10723.html','Peter Song (University of Michigan Ann Arbor)','2017-11-20','Math','慧园3栋 415报告厅',
'球面的微分结构与稳定同伦论','http://math.sustech.edu.cn/hall/10667.html','王国祯(上海数学中心)','2017-11-9','Math','慧园3栋 415报告厅',
'The universe in a computer: how mathematical and   numerical methods are essential','http://math.sustech.edu.cn/hall/10653.html','Christian Klingenberg(University of Würzburg, Germany)','2017-11-2','Math','慧园3栋 415报告厅',
'生物医学大数据挖掘的机器学习方法','http://math.sustech.edu.cn/hall/10645.html','戴道清(中山大学)','2017-9-12','Math','慧园3栋 415报告厅',
'分形漫谈——关于自然界的一种新的几何学 ','http://math.sustech.edu.cn/hall/10637.html','吴敏教授(华南理工大学)','2017-9-7','Math','慧园3栋 415报告厅',
'On global existence of solutions of stochastic reaction equations','http://math.sustech.edu.cn/hall/10636.html','张土生教授(英国曼彻斯特大学)','2017-9-7','Math','慧园3栋 415报告厅',
'（八卦与调侃） “浅谈华罗庚与Weil的学术风格“ ','http://math.sustech.edu.cn/hall/10635.html','张寿武教授(普林斯顿大学)','2017-9-6','Math','慧园3栋 415报告厅',
